,job_title,company,location,salary
132,Data Engineer (All Level) – DATAx,"SCB DataX Co., Ltd.",จตุจักร,Not specified
133,Data Visualization Specialists,"The BRS Co., Ltd.",ยานนาวา,Not specified
134,Recruitment Data Analytics and Sourcing Executive,Central Restaurants Group (CRG),บางรัก,Not specified
135,BB Analytics (Manager - AVP),United Overseas Bank (Thai) Public Company Limited (UOB),กรุงเทพมหานคร,Not specified
136,Senior Lead - Operations Transformation & Strategies,AIA Company Limited,บางรัก,Not specified
137,ผู้จัดการฝ่าย Data Development,CP ALL PUBLIC COMPANY LIMITED,บางรัก,Not specified
138,Customer & Marketing Data Analytics Manager,Cathcart Associates Asia Recruitment Ltd.,บางซื่อ,159999
139,Internal Report/Data Analyst (Supervisor),"Big C Supercenter Public Co., Ltd.",พระโขนง,Not specified
140,Junior Business Analyst,Bangkok Bank Public Company Limited,ยานนาวา,Not specified
141,Business Analyst (WMS Platform / Location BTS MRT),บริษัท ดีเฟนส์มี จำกัด,จตุจักร,Not specified
142,Customer Insights Analyst - DATAx,"SCB DataX Co., Ltd.",จตุจักร,Not specified
143,System Analyst (WFH 100%),PRTR,กรุงเทพมหานคร,Not specified
144,Marketing Database Specialist (SQL/Python),KASIKORNBANK PUBLIC COMPANY LIMITED,ราษฎร์บูรณะ,Not specified
145,Data Analyst (Power BI & Dashboard),Bangkok Bank Public Company Limited,บางรัก,Not specified
146,"AVP, Head of Digital Marketing Analytics Unit",dtac,ปทุมวัน,Not specified
147,IT System Analyst,"SCB TECH X CO., LTD.",จตุจักร,Not specified
148,System Analyst,Kerry Express (Thailand) Public Company Limited,บางรัก,Not specified
149,Date Intelligence Functional Analyst,"Siam Commercial Bank Public Co., Ltd. (SCB)",จตุจักร,Not specified
150,IT Business Analyst,บริษัท ออลล์ นาว โลจิสติกส์ จำกัด,Prakanong,Not specified
151,Credit Products Performance Management and Analysis,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,Not specified
152,"Associate, Campaign (Deal Hunting)",Lazada  Ltd.,Bangkok,Not specified
153,Business Analyst/ Senior Business Analyst/เจ้าหน้าที่พัฒนาผลิตภัณฑ์/ เจ้าหน้าที่พัฒนาผลิตภัณฑ์อาวุโส,Principal Healthcare Company Limited,Wattana,Not specified
154,"Financial System Analyst (ERP, SQL & Python)","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
155,"Financial System Analyst (ERP, SQL & Python)","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
156,Senior Data Analytics and IT Risk Manager,Ananda Development Public Company Limited,Bangkok,Not specified
157,Senior Business Analyst (Data Learning Project),Learn Corporation Public Company Limited,Pathumwan,Not specified
158,DevOps Engineer,MFEC Public Company Limited,Jatuchak,Not specified
159,Salesforce: SFDC - Senior Analyst and Project Manager,AIQ (THAILAND) COMPANY LIMITED,Wattana,119999
160,Back-End / Full Stack Developer (Senior Level/Team Lead) - Python  (65K-85K),"Triple Dot Consulting Co., Ltd.",Bangkok,89999
161,Sale Strategy (Assistant Manager – Manager),Kiatnakin Phatra Bank Public Company Limited,Wattana,Not specified
162,IT Database Administrator (100-130K)/Senior Database Administrator,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Not specified
163,Business Analyst (CRM Project),Bangkokbank (BBL),Bangrak,Not specified
164,Business Analyst / Product Owner – Collection Intelligence Strategy,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Not specified
165,Database Administration (Senior Level),PRTR,Bangkok,Not specified
166,Database Administrator (Jr. /Sr.),MFEC Public Company Limited,Wattana,Not specified
167,System Analyst - Customer,Lotus's,Beungkum,Not specified
168,Strategic Planning Manager (50K-70K) (SDG-82230) ผู้จัดการฝ่ายวางแผนกลยุทธ์,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Pathumwan,Not specified
169,Implementation Manager,Central Retail Corporation (CRC Talent Acquisition),Bangrak,Not specified
170,Sale Management : Assistant Manager - Manager,Kiatnakin Phatra Bank Public Company Limited,Wattana,Not specified
