accident_date,accident_time,expw_step,weather_state,injur_man,injur_femel,dead_man,dead_femel,cause
2016-08-20,01:59:59,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2016-07-29,03:39:39,บางพลี-สุขสวัสดิ์,ปกติ,1,0,0,0,หลับใน
2016-08-27,06:34:34,ศรีรัช-วงแหวนรอบนอก,ปกติ,0,0,0,0,หลับใน
2015-12-01,12:33:33,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,หลับใน
2015-11-20,12:15:15,ทางหลวงพิเศษหมายเลข 37,ปกติ,4,0,0,0,หลับใน
2016-03-01,00:38:38,ทางหลวงพิเศษหมายเลข 37,ปกติ,0,0,0,0,หลับใน
2016-01-17,02:17:17,ทางหลวงพิเศษหมายเลข 37,ปกติ,1,0,0,0,หลับใน
2016-06-25,05:47:47,ศรีรัช,ปกติ,5,0,0,0,ขับรถช้าลง
2015-11-04,02:53:53,ฉลองรัช,ปกติ,0,1,1,0,ขับรถช้าลง
2016-07-29,23:53:53,ฉลองรัช,ปกติ,1,0,0,0,ขับรถช้าลง
2016-07-30,16:42:42,บูรพาวิถี,ปกติ,1,5,0,0,ขับรถช้าลง
2016-09-02,11:00:00,เฉลิมมหานคร,ปกติ,0,0,0,0,ขับรถช้าลง
2015-11-02,19:29:29,S1,ปกติ,6,3,1,3,ขับรถเร็วเกินไป
2016-04-09,19:50:50,S1,ปกติ,1,1,0,0,ขับรถเร็วเกินไป
2016-03-31,10:47:47,S1,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2015-11-17,00:54:54,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-19,09:11:11,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-10-31,17:19:19,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-02,20:20:20,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-15,19:18:18,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-20,03:29:29,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-22,22:54:54,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-13,11:26:26,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-04-22,02:26:26,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-07-02,15:48:48,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-29,10:16:16,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-23,12:35:35,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-18,19:27:27,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-01-12,08:01:01,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-11-28,23:49:49,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2015-12-07,20:30:30,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-13,11:28:28,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-11,14:42:42,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-05-20,02:26:26,ศรีรัช,ปกติ,0,1,0,0,ขับรถเร็วเกินไป
2016-01-26,15:56:56,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-03-30,00:25:25,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-25,01:52:52,ศรีรัช,ฝนตก,0,0,0,0,ขับรถเร็วเกินไป
2016-01-30,07:45:45,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-02,23:58:58,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-26,16:36:36,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-09-11,20:13:13,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-06,11:34:34,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-03-14,03:24:24,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-07-12,08:46:46,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-02-09,12:27:27,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-02-06,22:15:15,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-09-01,21:26:26,ศรีรัช,ปกติ,1,0,0,0,ขับรถเร็วเกินไป
2016-07-05,21:14:14,ศรีรัช,ปกติ,1,2,0,0,ขับรถเร็วเกินไป
2016-01-20,04:33:33,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-08-21,05:08:08,ศรีรัช,ปกติ,0,2,0,0,ขับรถเร็วเกินไป
2016-06-17,09:00:00,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
2016-06-09,12:02:02,ศรีรัช,ปกติ,0,0,0,0,ขับรถเร็วเกินไป
